"Thursday, April 7, 2022"

1:05 pm Boston Red Sox @ New York Yankees

2:20 pm Milwaukee Brewers @ Chicago Cubs

4:07 pm Texas Rangers @ Oakland Athletics

4:10 pm St. Louis Cardinals @ Cincinnati Reds

4:10 pm Toronto Blue Jays @ Houston Astros

6:10 pm Boston Red Sox @ Tampa Bay Rays

7:20 pm Miami Marlins @ Atlanta Braves

8:10 pm New York Mets @ Arizona D'Backs

8:40 pm Los Angeles Dodgers @ San Diego Padres

9:07 pm Baltimore Orioles @ Los Angeles Angels

9:10 pm Kansas City Royals @ Seattle Mariners

"Sunday, April 24, 2022"

1:10 pm Colorado Rockies @ Detroit Tigers

1:10 pm Boston Red Sox @ Tampa Bay Rays

1:35 pm Miami Marlins @ Atlanta Braves

1:35 pm Cleveland Guardians @ New York Yankees

1:35 pm San Francisco Giants @ Washington Nationals

1:40 pm St. Louis Cardinals @ Cincinnati Reds

2:10 pm Toronto Blue Jays @ Houston Astros

2:10 pm Chicago White Sox @ Minnesota Twins

2:20 pm Pittsburgh Pirates @ Chicago Cubs

4:07 pm Baltimore Orioles @ Los Angeles Angels

4:07 pm Texas Rangers @ Oakland Athletics

4:10 pm New York Mets @ Arizona D'Backs

4:10 pm Los Angeles Dodgers @ San Diego Padres

4:10 pm Kansas City Royals @ Seattle Mariners

7:08 pm Milwaukee Brewers @ Philadelphia Phillies

"Monday, April 25, 2022"

6:10 pm San Francisco Giants @ Milwaukee Brewers

6:45 pm Colorado Rockies @ Philadelphia Phillies

7:07 pm Boston Red Sox @ Toronto Blue Jays

7:45 pm New York Mets @ St. Louis Cardinals

8:05 pm Houston Astros @ Texas Rangers

9:38 pm Cleveland Guardians @ Los Angeles Angels

9:40 pm Los Angeles Dodgers @ Arizona D'Backs

"Tuesday, April 26, 2022"

6:35 pm Milwaukee Brewers @ Pittsburgh Pirates

6:40 pm San Diego Padres @ Cincinnati Reds

6:40 pm Seattle Mariners @ Tampa Bay Rays

6:45 pm Colorado Rockies @ Philadelphia Phillies

7:05 pm Baltimore Orioles @ New York Yankees

7:05 pm Miami Marlins @ Washington Nationals

7:07 pm Boston Red Sox @ Toronto Blue Jays

7:10 pm Kansas City Royals @ Chicago White Sox

7:20 pm Chicago Cubs @ Atlanta Braves

7:40 pm Detroit Tigers @ Minnesota Twins

7:45 pm New York Mets @ St. Louis Cardinals

8:05 pm Houston Astros @ Texas Rangers

9:38 pm Cleveland Guardians @ Los Angeles Angels

9:40 pm Los Angeles Dodgers @ Arizona D'Backs

9:45 pm Oakland Athletics @ San Francisco Giants

"Wednesday, April 27, 2022"

1:15 pm New York Mets @ St. Louis Cardinals

3:40 pm Los Angeles Dodgers @ Arizona D'Backs

6:35 pm Milwaukee Brewers @ Pittsburgh Pirates

6:40 pm San Diego Padres @ Cincinnati Reds

6:40 pm Seattle Mariners @ Tampa Bay Rays

6:45 pm Colorado Rockies @ Philadelphia Phillies

7:05 pm Baltimore Orioles @ New York Yankees

7:05 pm Miami Marlins @ Washington Nationals

7:07 pm Boston Red Sox @ Toronto Blue Jays

7:10 pm Kansas City Royals @ Chicago White Sox

7:20 pm Chicago Cubs @ Atlanta Braves

7:40 pm Detroit Tigers @ Minnesota Twins

8:05 pm Houston Astros @ Texas Rangers

9:38 pm Cleveland Guardians @ Los Angeles Angels

9:45 pm Oakland Athletics @ San Francisco Giants

"Thursday, April 28, 2022"

12:35 pm San Diego Padres @ Cincinnati Reds

12:35 pm Milwaukee Brewers @ Pittsburgh Pirates

1:05 pm Baltimore Orioles @ New York Yankees

1:05 pm Colorado Rockies @ Philadelphia Phillies

1:05 pm Miami Marlins @ Washington Nationals

1:10 pm Detroit Tigers @ Minnesota Twins

1:10 pm Seattle Mariners @ Tampa Bay Rays

2:05 pm Houston Astros @ Texas Rangers

2:10 pm Kansas City Royals @ Chicago White Sox

3:07 pm Boston Red Sox @ Toronto Blue Jays

4:07 pm Cleveland Guardians @ Los Angeles Angels

7:20 pm Chicago Cubs @ Atlanta Braves

7:45 pm Arizona D'Backs @ St. Louis Cardinals

"Friday, April 29, 2022"

6:35 pm San Diego Padres @ Pittsburgh Pirates

6:40 pm Seattle Mariners @ Miami Marlins

7:05 pm Boston Red Sox @ Baltimore Orioles

7:07 pm Houston Astros @ Toronto Blue Jays

7:10 pm Los Angeles Angels @ Chicago White Sox

7:10 pm Philadelphia Phillies @ New York Mets

7:10 pm Minnesota Twins @ Tampa Bay Rays

8:05 pm Atlanta Braves @ Texas Rangers

8:10 pm New York Yankees @ Kansas City Royals

8:10 pm Chicago Cubs @ Milwaukee Brewers

8:15 pm Arizona D'Backs @ St. Louis Cardinals

8:40 pm Cincinnati Reds @ Colorado Rockies

9:40 pm Cleveland Guardians @ Oakland Athletics

10:10 pm Detroit Tigers @ Los Angeles Dodgers

10:15 pm Washington Nationals @ San Francisco Giants

"Saturday, April 30, 2022"

2:15 pm Arizona D'Backs @ St. Louis Cardinals

3:07 pm Houston Astros @ Toronto Blue Jays

4:05 pm Los Angeles Angels @ Chicago White Sox

4:05 pm Washington Nationals @ San Francisco Giants

4:07 pm Cleveland Guardians @ Oakland Athletics

4:10 pm Minnesota Twins @ Tampa Bay Rays

6:10 pm Seattle Mariners @ Miami Marlins

6:35 pm San Diego Padres @ Pittsburgh Pirates

7:05 pm Boston Red Sox @ Baltimore Orioles

7:05 pm Atlanta Braves @ Texas Rangers

7:10 pm New York Yankees @ Kansas City Royals

7:10 pm Chicago Cubs @ Milwaukee Brewers

7:10 pm Philadelphia Phillies @ New York Mets

8:10 pm Cincinnati Reds @ Colorado Rockies

10:10 pm Detroit Tigers @ Los Angeles Dodgers

"Sunday, May 1, 2022"

1:05 pm Boston Red Sox @ Baltimore Orioles

1:10 pm Minnesota Twins @ Tampa Bay Rays

1:35 pm San Diego Padres @ Pittsburgh Pirates

1:37 pm Houston Astros @ Toronto Blue Jays

1:40 pm Seattle Mariners @ Miami Marlins

2:10 pm Los Angeles Angels @ Chicago White Sox

2:10 pm New York Yankees @ Kansas City Royals

2:10 pm Chicago Cubs @ Milwaukee Brewers

2:15 pm Arizona D'Backs @ St. Louis Cardinals

2:35 pm Atlanta Braves @ Texas Rangers

3:10 pm Cincinnati Reds @ Colorado Rockies

4:05 pm Washington Nationals @ San Francisco Giants

4:07 pm Cleveland Guardians @ Oakland Athletics

4:10 pm Detroit Tigers @ Los Angeles Dodgers

7:08 pm Philadelphia Phillies @ New York Mets

"Monday, May 2, 2022"

2:10 pm Los Angeles Angels @ Chicago White Sox

6:40 pm Arizona D'Backs @ Miami Marlins

7:05 pm Minnesota Twins @ Baltimore Orioles

7:07 pm New York Yankees @ Toronto Blue Jays

